Metod, Typ, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka
4, 1, 71, 33, 32, 59, 89, 100, 10, 19, 82, 63
3, 1, 63, 76, 80, 59, 85, 100, 40, 71, 72, 67
4, 1, 86, 38, 52, 76, 64, 100, 40, 53, 78, 74
4, 1, 100, 75, 74, 42, 78, 100, 69, 56, 76, 64
4, 1, 5, 83, 85, 40, 69, 100, 35, 38, 79, 61
4, 1, 79, 72, 60, 50, 50, 100, 50, 19, 77, 70
4, 1, 75, 69, 60, 50, 60, 100, 0, 0, 100, 74
4, 1, 40, 66, 74, 38, 28, 100, 41, 38, 65, 35
4, 1, 73, 50, 53, 60, 26, 100, 82, 63, 100, 87
4, 1, 74, 70, 73, 70, 22, 95, 69, 78, 100, 84
4, 1, 68, 88, 68, 83, 75, 100, 74, 31, 100, 83
4, 1, 73, 77, 27, 60, 67, 100, 56, 42, 71, 45
4, 1, 22, 75, 17, 53, 61, 64, 43, 43, 47, 36
4, 1, 80, 48, 63, 84, 70, 100, 31, 39, 79, 69
4, 1, 64, 77, 39, 59, 62, 100, 64, 21, 78, 64
4, 1, 56, 91, 51, 69, 73, 100, 41, 83, 78, 50
4, 1, 56, 37, 74, 40, 70, 100, 65, 71, 84, 71
4, 1, 75, 37, 38, 71, 56, 84, 51, 40, 83, 88
4, 1, 69, 28, 35, 36, 49, 100, 30, 14, 72, 69
4, 1, 33, 78, 73, 23, 95, 100, 28, 30, 69, 41
4, 1, 65, 50, 51, 50, 22, 100, 65, 0, 50, 100
4, 1, 100, 100, 54, 56, 100, 100, 100, 50, 50, 100
4, 1, 62, 86, 64, 30, 68, 100, 50, 50, 50, 50
4, 1, 40, 65, 68, 40, 81, 100, 62, 42, 68, 66
4, 1, 84, 50, 52, 85, 75, 100, 50, 0, 100, 100
4, 1, 70, 50, 62, 73, 62, 100, 50, 25, 70, 66
4, 1, 61, 43, 51, 62, 35, 100, 50, 50, 50, 50
4, 1, 40, 70, 55, 60, 74, 100, 32, 36, 56, 34
4, 1, 78, 36, 50, 45, 72, 100, 47, 50, 65, 66
4, 1, 45, 73, 69, 23, 73, 100, 64, 50, 63, 26
4, 1, 99, 84, 1, 16, 50, 100, 0, 30, 84, 100
4, 1, 73, 64, 43, 36, 37, 100, 60, 63, 59, 53
4, 1, 71, 60, 23, 69, 75, 100, 43, 38, 87, 61
4, 1, 64, 62, 67, 36, 69, 100, 50, 50, 50, 50
4, 1, 100, 39, 50, 76, 75, 100, 67, 38, 84, 75
4, 1, 47, 50, 50, 50, 50, 100, 44, 50, 81, 42
4, 1, 86, 65, 50, 65, 70, 100, 50, 50, 81, 60
4, 1, 11, 82, 0, 22, 84, 100, 16, 7, 80, 13
4, 1, 82, 39, 66, 81, 64, 100, 31, 27, 79, 95
4, 1, 70, 60, 60, 35, 60, 71, 39, 40, 61, 40
4, 1, 84, 56, 61, 62, 59, 100, 62, 56, 73, 72
4, 1, 28, 70, 65, 50, 77, 100, 50, 50, 85, 50
4, 1, 41, 57, 33, 33, 60, 100, 42, 40, 59, 40
4, 1, 39, 63, 67, 45, 71, 100, 40, 32, 75, 61
4, 1, 80, 60, 73, 66, 66, 100, 65, 34, 83, 87
4, 1, 50, 88, 39, 92, 50, 100, 50, 0, 100, 53
4, 1, 20, 91, 56, 33, 60, 100, 27, 49, 100, 70
4, 1, 73, 72, 34, 35, 60, 77, 63, 36, 74, 25
4, 1, 50, 72, 70, 30, 62, 48, 50, 50, 50, 50
4, 1, 49, 74, 70, 22, 28, 100, 30, 33, 75, 41
4, 1, 72, 50, 25, 67, 71, 100, 37, 27, 69, 50
4, 1, 0, 100, 50, 80, 100, 100, 50, 50, 50, 50
4, 1, 100, 56, 65, 85, 70, 100, 69, 67, 75, 79
4, 1, 81, 66, 77, 85, 75, 100, 60, 40, 91, 88
4, 1, 81, 33, 54, 70, 77, 100, 73, 55, 80, 53
4, 1, 50, 61, 60, 74, 56, 100, 39, 41, 78, 61
