Metod, Typ, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka
1, 1, 40, 74, 44, 17, 72, 100, 35, 66, 77, 69
1, 1, 41, 63, 27, 18, 28, 100, 41, 35, 78, 78
1, 1, 76, 92, 50, 28, 79, 100, 64, 34, 70, 69
1, 1, 11, 71, 69, 65, 28, 100, 70, 30, 71, 57
1, 1, 48, 57, 28, 63, 62, 100, 52, 41, 61, 51
1, 1, 81, 52, 14, 78, 51, 100, 47, 11, 87, 70
1, 1, 27, 75, 61, 18, 52, 100, 26, 28, 82, 62
1, 1, 69, 27, 61, 20, 27, 100, 52, 25, 83, 82
1, 1, 73, 35, 45, 44, 47, 100, 70, 18, 74, 72
1, 1, 28, 20, 76, 25, 31, 100, 63, 30, 71, 64
1, 1, 42, 47, 81, 35, 37, 100, 54, 40, 65, 53
1, 1, 70, 75, 65, 20, 75, 100, 20, 19, 80, 80
1, 1, 25, 80, 65, 25, 70, 100, 30, 30, 80, 30
1, 1, 77, 61, 52, 38, 30, 100, 66, 32, 92, 97
1, 1, 43, 65, 38, 31, 61, 100, 39, 7, 100, 69
1, 1, 38, 14, 14, 28, 24, 100, 68, 52, 96, 100
1, 1, 34, 67, 63, 35, 41, 100, 23, 17, 75, 28
1, 1, 30, 40, 61, 28, 35, 100, 37, 39, 64, 61
1, 1, 84, 56, 80, 77, 35, 100, 75, 59, 100, 88
1, 1, 65, 37, 87, 19, 18, 100, 61, 16, 79, 84
1, 1, 61, 40, 68, 36, 25, 84, 63, 74, 68, 67
1, 1, 100, 61, 36, 68, 33, 100, 52, 38, 52, 52
1, 1, 45, 85, 75, 35, 80, 100, 25, 10, 90, 75
1, 1, 74, 31, 13, 40, 60, 100, 66, 28, 66, 100
1, 1, 26, 73, 63, 42, 66, 100, 37, 30, 77, 46
1, 1, 65, 81, 48, 28, 16, 100, 67, 34, 84, 63
1, 1, 66, 40, 41, 33, 32, 100, 38, 33, 67, 70
1, 1, 81, 17, 40, 61, 15, 100, 72, 23, 75, 70
1, 1, 69, 40, 71, 35, 31, 100, 40, 49, 83, 44
1, 1, 73, 35, 67, 25, 26, 91, 61, 41, 75, 81
1, 1, 90, 75, 77, 16, 18, 100, 41, 56, 88, 64
1, 1, 32, 33, 19, 27, 72, 100, 79, 100, 73, 46
1, 1, 0, 70, 28, 27, 49, 100, 25, 25, 81, 34
1, 1, 75, 39, 63, 35, 54, 100, 52, 52, 72, 66
1, 1, 64, 60, 45, 44, 52, 100, 52, 52, 70, 84
1, 1, 75, 60, 52, 41, 59, 100, 71, 35, 75, 74
1, 1, 70, 19, 61, 20, 27, 100, 42, 28, 79, 68
1, 1, 21, 84, 49, 19, 56, 100, 52, 52, 82, 76
1, 1, 72, 68, 70, 0, 28, 100, 37, 42, 83, 74
1, 1, 52, 68, 82, 48, 31, 100, 69, 39, 70, 82
1, 1, 99, 42, 71, 56, 79, 100, 30, 70, 94, 74
1, 1, 50, 65, 6, 26, 31, 100, 66, 0, 100, 100
1, 1, 69, 68, 0, 20, 40, 100, 52, 0, 75, 75
1, 1, 52, 75, 52, 38, 52, 100, 54, 67, 80, 100
1, 1, 44, 68, 77, 14, 20, 100, 76, 73, 85, 56
