Metod, Typ, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka
5, 1, 100, 50, 50, 50, 27, 100, 50, 50, 50, 100
5, 1, 79, 61, 36, 46, 44, 100, 36, 41, 44, 34
5, 1, 100, 27, 52, 43, 50, 100, 28, 61, 54, 62
5, 1, 80, 50, 31, 84, 73, 100, 50, 33, 84, 81
5, 1, 89, 63, 27, 77, 42, 100, 71, 49, 72, 79
5, 1, 60, 85, 24, 22, 93, 100, 0, 26, 100, 57
5, 1, 72, 68, 0, 34, 57, 100, 70, 28, 88, 99
5, 1, 43, 33, 74, 56, 41, 100, 31, 25, 75, 77
5, 1, 30, 80, 56, 12, 86, 100, 0, 0, 100, 79
5, 1, 26, 41, 75, 45, 40, 100, 37, 38, 36, 39
5, 1, 68, 38, 56, 59, 54, 100, 50, 50, 50, 50
5, 1, 24, 10, 71, 25, 69, 56, 56, 36, 56, 34
5, 1, 76, 40, 54, 41, 64, 100, 50, 50, 50, 54
5, 1, 69, 47, 21, 10, 19, 94, 74, 71, 100, 77
5, 1, 62, 35, 74, 28, 66, 100, 67, 33, 81, 50
5, 1, 100, 20, 43, 80, 63, 100, 70, 57, 97, 67
5, 1, 48, 32, 50, 50, 28, 100, 41, 41, 71, 46
5, 1, 91, 34, 38, 49, 43, 100, 50, 28, 50, 70
5, 1, 91, 33, 26, 35, 50, 100, 36, 24, 50, 50
5, 1, 81, 35, 22, 60, 59, 100, 66, 28, 91, 73
5, 1, 30, 76, 28, 23, 57, 100, 24, 49, 78, 37
5, 1, 73, 27, 80, 30, 32, 100, 50, 17, 83, 83
5, 1, 71, 24, 37, 70, 61, 100, 26, 21, 73, 33
5, 1, 50, 4, 50, 22, 23, 100, 64, 65, 76, 80
5, 1, 100, 9, 26, 17, 44, 100, 38, 50, 84, 67
5, 1, 0, 100, 41, 0, 100, 100, 0, 0, 100, 0
5, 1, 84, 20, 37, 42, 43, 100, 28, 21, 72, 73
5, 1, 100, 26, 0, 32, 38, 100, 50, 56, 100, 80
5, 1, 83, 45, 40, 20, 17, 100, 50, 50, 62, 56
5, 1, 60, 83, 52, 68, 79, 100, 21, 26, 100, 37
5, 1, 100, 54, 43, 77, 43, 100, 66, 42, 100, 100
5, 1, 75, 37, 39, 72, 70, 100, 36, 37, 86, 77
5, 1, 85, 65, 59, 56, 86, 100, 70, 50, 90, 88
5, 1, 18, 47, 43, 26, 70, 100, 36, 20, 70, 23
5, 1, 69, 33, 30, 56, 30, 100, 53, 53, 73, 79
5, 1, 54, 37, 35, 24, 31, 100, 31, 50, 56, 61
5, 1, 72, 39, 37, 63, 37, 100, 82, 66, 84, 97
5, 1, 35, 32, 65, 56, 66, 100, 50, 50, 50, 50
5, 1, 80, 40, 30, 60, 100, 100, 40, 40, 73, 70
5, 1, 80, 65, 60, 85, 81, 100, 34, 34, 77, 31
5, 1, 71, 75, 67, 60, 71, 100, 69, 66, 72, 84
5, 1, 70, 70, 12, 23, 24, 100, 75, 50, 95, 100
5, 1, 76, 69, 38, 27, 36, 100, 38, 22, 72, 34
5, 1, 50, 26, 71, 68, 32, 100, 50, 50, 50, 50
5, 1, 82, 69, 72, 31, 60, 100, 36, 74, 69, 71
5, 1, 70, 35, 70, 49, 70, 100, 39, 40, 56, 68
5, 1, 40, 41, 67, 16, 49, 100, 28, 20, 100, 100
5, 1, 84, 64, 26, 69, 42, 100, 0, 32, 100, 21
5, 1, 80, 60, 30, 75, 65, 100, 71, 18, 86, 68
5, 1, 73, 37, 44, 38, 43, 100, 45, 35, 77, 50
5, 1, 76, 68, 74, 18, 80, 100, 72, 43, 79, 73
5, 1, 75, 30, 26, 13, 32, 100, 38, 17, 11, 38
5, 1, 100, 49, 0, 41, 70, 100, 50, 50, 50, 50
5, 1, 85, 26, 25, 35, 40, 100, 34, 31, 61, 50
5, 1, 80, 30, 32, 14, 16, 100, 30, 24, 27, 25
5, 1, 65, 59, 53, 64, 39, 100, 61, 59, 80, 60
5, 1, 80, 61, 40, 74, 66, 100, 74, 60, 75, 79
5, 1, 85, 60, 55, 85, 80, 100, 40, 40, 75, 45
5, 1, 100, 78, 63, 66, 59, 100, 87, 55, 100, 100
5, 1, 100, 79, 19, 28, 78, 100, 72, 0, 80, 92
5, 1, 89, 16, 61, 40, 43, 100, 27, 37, 70, 56
5, 1, 72, 41, 28, 63, 61, 100, 50, 50, 50, 50
5, 1, 15, 77, 56, 17, 14, 100, 37, 37, 74, 59
