Metod, Typ, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka
6, 1, 17, 100, 100, 33, 17, 100, 20, 47, 100, 84
6, 1, 28, 83, 28, 50, 59, 100, 28, 52, 81, 28
6, 1, 90, 77, 75, 70, 82, 100, 75, 62, 70, 85
6, 1, 70, 70, 60, 80, 70, 100, 40, 40, 79, 65
6, 1, 43, 62, 76, 57, 77, 100, 22, 27, 72, 67
6, 1, 95, 74, 70, 24, 27, 100, 65, 40, 71, 36
6, 1, 77, 67, 67, 62, 32, 100, 75, 68, 74, 97
6, 1, 80, 73, 27, 78, 69, 100, 76, 25, 89, 77
6, 1, 75, 89, 62, 28, 81, 100, 31, 74, 78, 75
6, 1, 71, 70, 64, 28, 28, 100, 69, 50, 70, 61
6, 1, 73, 86, 70, 49, 63, 100, 28, 20, 100, 71
6, 1, 45, 76, 37, 60, 85, 100, 31, 49, 78, 63
6, 1, 76, 56, 15, 70, 74, 100, 28, 12, 99, 57
6, 1, 82, 30, 25, 84, 35, 95, 73, 73, 100, 81
6, 1, 64, 68, 45, 65, 66, 100, 64, 34, 81, 75
6, 1, 31, 63, 50, 55, 69, 100, 40, 36, 30, 41
6, 1, 100, 50, 41, 70, 56, 100, 50, 50, 50, 50
6, 1, 100, 76, 28, 36, 59, 100, 50, 50, 50, 50
6, 1, 100, 38, 37, 0, 28, 100, 66, 66, 66, 89
6, 1, 79, 69, 72, 40, 68, 100, 40, 22, 100, 65
6, 1, 12, 74, 36, 65, 69, 100, 37, 36, 65, 37
6, 1, 51, 36, 15, 71, 60, 45, 55, 42, 44, 54
6, 1, 44, 65, 28, 62, 64, 100, 47, 34, 52, 24
6, 1, 80, 59, 38, 85, 70, 100, 36, 63, 84, 62
6, 1, 68, 67, 39, 31, 79, 100, 47, 34, 100, 65
6, 1, 100, 73, 34, 88, 71, 100, 66, 35, 88, 71
6, 1, 70, 59, 49, 63, 72, 100, 37, 26, 78, 70
6, 1, 50, 50, 50, 50, 50, 79, 73, 74, 38, 70
6, 1, 78, 66, 61, 50, 66, 100, 68, 62, 89, 78
6, 1, 65, 61, 50, 50, 50, 100, 65, 37, 50, 50
6, 1, 81, 21, 28, 74, 53, 100, 34, 32, 76, 73
6, 1, 5, 100, 9, 13, 100, 49, 70, 34, 40, 72
6, 1, 100, 69, 55, 80, 68, 100, 50, 50, 81, 73
6, 1, 75, 67, 60, 48, 72, 100, 47, 60, 100, 70
6, 1, 63, 74, 65, 37, 48, 100, 62, 45, 60, 50
6, 1, 72, 92, 68, 50, 78, 100, 48, 50, 72, 92
6, 1, 41, 69, 35, 70, 76, 100, 67, 27, 88, 75
6, 1, 50, 50, 75, 75, 71, 100, 72, 46, 72, 72
6, 1, 63, 50, 67, 50, 0, 100, 77, 0, 50, 100
6, 1, 85, 54, 32, 79, 56, 100, 33, 23, 84, 70
6, 1, 90, 52, 35, 59, 61, 94, 56, 35, 72, 62
6, 1, 25, 31, 79, 8, 25, 100, 36, 22, 100, 100
6, 1, 84, 86, 0, 78, 89, 100, 50, 0, 50, 50
6, 1, 39, 44, 39, 56, 59, 100, 63, 30, 82, 59
6, 1, 73, 63, 50, 28, 81, 100, 16, 19, 76, 70
6, 1, 78, 67, 47, 63, 56, 100, 63, 31, 90, 77
6, 1, 33, 75, 68, 70, 69, 100, 33, 24, 69, 44
6, 1, 82, 66, 28, 71, 75, 93, 75, 38, 78, 88
6, 1, 42, 80, 50, 72, 84, 100, 50, 50, 50, 50
6, 1, 64, 71, 35, 74, 67, 100, 31, 86, 26, 83
6, 1, 56, 64, 52, 23, 64, 100, 15, 9, 73, 57
6, 1, 92, 76, 30, 70, 68, 100, 81, 71, 76, 82
