Metod, Typ, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka
2, 1, 70, 30, 20, 70, 75, 100, 50, 25, 80, 80
2, 1, 59, 35, 0, 64, 90, 100, 17, 7, 80, 60
2, 1, 37, 36, 34, 38, 63, 100, 50, 50, 50, 50
2, 1, 100, 27, 25, 24, 33, 100, 50, 50, 50, 50
2, 1, 40, 72, 38, 82, 48, 72, 75, 28, 76, 72
2, 1, 63, 70, 51, 32, 56, 100, 47, 34, 37, 46
2, 1, 80, 34, 24, 59, 48, 100, 43, 42, 59, 53
2, 1, 81, 46, 56, 49, 73, 100, 56, 45, 60, 76
2, 1, 70, 60, 50, 74, 90, 100, 42, 50, 75, 60
2, 1, 66, 40, 54, 61, 71, 100, 57, 68, 65, 72
2, 1, 0, 85, 50, 62, 75, 54, 50, 50, 50, 50
2, 1, 71, 73, 57, 80, 73, 100, 73, 31, 89, 100
2, 1, 63, 75, 37, 21, 44, 100, 31, 25, 90, 74
2, 1, 66, 68, 62, 36, 56, 100, 56, 31, 69, 62
2, 1, 75, 48, 57, 31, 50, 100, 42, 0, 74, 47
2, 1, 60, 56, 46, 56, 60, 100, 54, 28, 68, 61
2, 1, 84, 65, 34, 63, 42, 100, 67, 37, 88, 88
2, 1, 71, 82, 1, 4, 72, 100, 74, 0, 59, 59
2, 1, 35, 65, 35, 30, 70, 100, 50, 50, 50, 50
2, 1, 100, 51, 26, 82, 62, 100, 59, 45, 100, 70
2, 1, 70, 70, 60, 81, 76, 100, 35, 40, 80, 70
2, 1, 97, 23, 69, 85, 69, 100, 41, 30, 93, 72
2, 1, 100, 60, 62, 92, 83, 100, 57, 68, 85, 65
2, 1, 78, 74, 23, 61, 77, 100, 71, 50, 76, 71
2, 1, 50, 77, 79, 41, 78, 100, 36, 28, 65, 71
2, 1, 65, 52, 44, 38, 43, 100, 64, 66, 80, 78
2, 1, 80, 66, 33, 76, 74, 100, 75, 28, 88, 88
2, 1, 80, 50, 50, 50, 50, 100, 61, 63, 78, 70
2, 1, 42, 69, 64, 33, 61, 100, 49, 44, 66, 23
2, 1, 93, 70, 38, 63, 89, 100, 28, 23, 82, 57
2, 1, 77, 90, 83, 25, 82, 100, 67, 48, 70, 70
2, 1, 65, 61, 50, 64, 67, 100, 47, 50, 50, 44
2, 1, 71, 39, 63, 34, 52, 100, 28, 27, 75, 50
2, 1, 65, 74, 28, 59, 34, 100, 40, 20, 72, 71
2, 1, 70, 60, 14, 37, 57, 100, 69, 43, 70, 100
2, 1, 100, 28, 27, 74, 72, 100, 21, 8, 74, 66
2, 1, 77, 56, 72, 31, 50, 100, 33, 28, 68, 50
2, 1, 62, 33, 12, 59, 67, 100, 27, 12, 100, 71
2, 1, 86, 28, 31, 74, 78, 100, 33, 37, 100, 100
2, 1, 24, 87, 37, 41, 79, 100, 26, 60, 77, 57
2, 1, 66, 70, 31, 56, 59, 100, 59, 42, 82, 81
2, 1, 74, 64, 68, 28, 68, 100, 20, 33, 86, 68
2, 1, 78, 67, 73, 63, 72, 96, 71, 63, 85, 72
2, 1, 92, 71, 43, 60, 21, 60, 69, 60, 53, 56
2, 1, 71, 62, 74, 31, 100, 100, 38, 43, 79, 28
2, 1, 71, 56, 23, 64, 65, 100, 64, 32, 73, 63
2, 1, 72, 68, 38, 64, 56, 100, 39, 36, 39, 21
2, 1, 79, 83, 20, 82, 82, 100, 55, 4, 90, 88
2, 1, 83, 74, 56, 83, 67, 100, 84, 61, 100, 100
2, 1, 90, 63, 10, 80, 76, 100, 41, 0, 92, 73
2, 1, 85, 65, 19, 76, 80, 100, 39, 0, 74, 42
2, 1, 59, 55, 35, 77, 28, 100, 57, 0, 85, 27
2, 1, 26, 78, 100, 50, 91, 100, 65, 50, 60, 61
2, 1, 73, 30, 50, 68, 37, 100, 40, 69, 74, 60
2, 1, 73, 44, 5, 37, 86, 100, 49, 0, 100, 77
2, 1, 9, 74, 83, 57, 85, 100, 26, 27, 86, 50
2, 1, 34, 44, 25, 100, 42, 100, 81, 26, 14, 100
2, 1, 30, 57, 38, 82, 28, 100, 61, 28, 65, 100
2, 1, 79, 15, 18, 30, 39, 100, 32, 12, 78, 70
2, 1, 54, 75, 18, 72, 32, 100, 36, 40, 76, 31
2, 1, 44, 69, 77, 60, 56, 100, 54, 22, 24, 26
2, 1, 0, 100, 100, 27, 100, 100, 47, 0, 82, 78
2, 1, 72, 62, 56, 32, 50, 100, 65, 42, 34, 50
2, 1, 59, 74, 26, 43, 56, 100, 53, 49, 64, 78
2, 1, 70, 60, 41, 74, 61, 100, 36, 76, 66, 36
