Metod, Typ, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka, Smak, Bitterhet, Syrlighet, Fyllighet, Styrka
3, 1, 18, 79, 86, 42, 80, 100, 70, 27, 77, 73
3, 1, 82, 34, 26, 27, 45, 100, 59, 31, 60, 33
3, 1, 20, 93, 89, 12, 83, 100, 0, 0, 100, 76
3, 1, 21, 52, 0, 27, 100, 100, 15, 12, 81, 50
3, 1, 48, 39, 54, 72, 64, 100, 38, 37, 80, 59
3, 1, 75, 39, 56, 60, 85, 100, 57, 37, 88, 80
3, 1, 56, 55, 36, 28, 38, 100, 31, 63, 75, 51
3, 1, 37, 72, 28, 12, 55, 100, 100, 34, 100, 100
3, 1, 41, 39, 26, 62, 20, 100, 68, 70, 90, 79
3, 1, 100, 26, 51, 27, 35, 56, 70, 39, 59, 57
3, 1, 57, 19, 28, 56, 96, 100, 27, 23, 89, 61
3, 1, 65, 60, 60, 70, 70, 100, 36, 12, 76, 60
3, 1, 24, 34, 28, 42, 47, 100, 66, 31, 81, 80
3, 1, 61, 42, 60, 79, 80, 100, 76, 40, 55, 80
3, 1, 83, 22, 7, 66, 70, 100, 55, 28, 100, 75
3, 1, 39, 58, 50, 25, 100, 100, 62, 50, 82, 71
3, 1, 65, 65, 71, 80, 80, 100, 35, 35, 85, 39
3, 1, 86, 100, 21, 89, 77, 100, 77, 25, 100, 100
3, 1, 42, 13, 20, 82, 65, 100, 31, 31, 74, 66
3, 1, 71, 71, 50, 50, 70, 100, 50, 50, 50, 50
3, 1, 0, 81, 83, 5, 78, 100, 62, 38, 67, 62
3, 1, 25, 52, 68, 37, 49, 100, 59, 38, 71, 50
3, 1, 71, 39, 14, 72, 19, 100, 65, 25, 75, 60
3, 1, 62, 80, 14, 19, 64, 100, 31, 20, 72, 50
3, 1, 31, 64, 55, 26, 58, 100, 66, 38, 83, 64
3, 1, 74, 50, 50, 80, 72, 100, 60, 40, 81, 79
3, 1, 73, 100, 28, 74, 73, 77, 50, 50, 50, 50
3, 1, 84, 70, 18, 72, 70, 100, 70, 10, 80, 79
3, 1, 31, 66, 33, 27, 30, 100, 23, 36, 72, 41
3, 1, 86, 62, 57, 78, 61, 100, 77, 66, 100, 100
3, 1, 70, 22, 7, 80, 15, 100, 61, 0, 86, 100
3, 1, 0, 70, 70, 75, 71, 100, 61, 0, 100, 71
3, 1, 41, 34, 39, 62, 73, 100, 75, 53, 85, 90
3, 1, 5, 74, 68, 78, 78, 100, 73, 28, 70, 84
3, 1, 69, 26, 39, 65, 69, 100, 42, 50, 66, 50
3, 1, 82, 49, 59, 37, 59, 100, 72, 11, 72, 63
3, 1, 50, 67, 35, 47, 55, 100, 42, 36, 61, 63
3, 1, 0, 100, 100, 27, 68, 100, 62, 26, 91, 66
3, 1, 0, 38, 0, 0, 53, 100, 51, 35, 100, 62
3, 1, 36, 70, 71, 83, 62, 100, 70, 40, 73, 65
3, 1, 84, 59, 5, 79, 66, 100, 50, 50, 50, 50
3, 1, 64, 62, 28, 42, 37, 100, 54, 46, 83, 96
3, 1, 46, 55, 37, 68, 38, 100, 35, 34, 68, 42
3, 1, 75, 50, 18, 63, 32, 100, 100, 0, 48, 100
3, 1, 61, 50, 23, 72, 100, 93, 47, 25, 65, 14
3, 1, 88, 70, 0, 71, 91, 100, 50, 50, 67, 50
3, 1, 78, 42, 28, 38, 61, 100, 30, 40, 37, 35
3, 1, 63, 30, 34, 87, 66, 100, 27, 28, 74, 73
3, 1, 54, 41, 45, 56, 56, 100, 35, 33, 55, 31
3, 1, 0, 100, 50, 73, 68, 100, 50, 27, 77, 50
3, 1, 44, 14, 30, 77, 34, 100, 30, 25, 73, 26
3, 1, 74, 11, 10, 79, 61, 100, 21, 13, 80, 82
3, 1, 60, 60, 41, 70, 70, 100, 41, 40, 70, 60
3, 1, 74, 25, 16, 88, 82, 100, 70, 50, 84, 88
3, 1, 31, 60, 20, 62, 59, 100, 40, 14, 56, 62
3, 1, 71, 68, 40, 59, 70, 100, 62, 41, 62, 65
3, 1, 100, 100, 30, 100, 59, 100, 70, 30, 100, 65
3, 1, 75, 74, 0, 79, 50, 100, 62, 0, 100, 100
3, 1, 0, 50, 14, 17, 81, 26, 24, 57, 50, 50
3, 1, 39, 67, 62, 43, 67, 100, 50, 50, 50, 50
3, 1, 50, 22, 18, 70, 28, 100, 42, 41, 64, 69
3, 1, 50, 47, 50, 50, 50, 100, 50, 50, 100, 50
3, 1, 18, 100, 69, 21, 50, 100, 50, 11, 83, 50
3, 1, 34, 45, 36, 20, 51, 100, 65, 0, 72, 75
3, 1, 25, 70, 22, 66, 57, 100, 65, 36, 65, 100
3, 1, 7, 79, 5, 15, 64, 100, 30, 0, 59, 36
3, 1, 57, 41, 0, 69, 53, 100, 60, 0, 79, 65
3, 1, 22, 48, 50, 73, 50, 100, 56, 60, 74, 77
3, 1, 57, 70, 46, 74, 86, 100, 62, 23, 77, 60
3, 1, 70, 65, 62, 23, 36, 100, 48, 38, 90, 55
3, 1, 22, 32, 25, 74, 69, 100, 31, 27, 73, 65
3, 1, 21, 38, 24, 70, 0, 100, 80, 69, 61, 100
3, 1, 42, 35, 59, 33, 36, 100, 63, 64, 31, 50
3, 1, 50, 65, 52, 74, 69, 100, 50, 30, 64, 57
3, 1, 57, 41, 0, 69, 53, 100, 60, 0, 79, 65
3, 1, 22, 48, 50, 73, 50, 100, 56, 60, 74, 77
3, 1, 57, 70, 46, 74, 86, 100, 62, 23, 77, 60
3, 1, 9, 81, 60, 26, 55, 100, 61, 34, 77, 62
3, 1, 85, 65, 40, 60, 75, 100, 35, 55, 70, 65
3, 1, 70, 41, 44, 58, 32, 100, 68, 38, 35, 88
3, 1, 67, 73, 10, 81, 73, 100, 30, 73, 87, 74
3, 1, 74, 69, 50, 50, 69, 100, 50, 50, 73, 79
3, 1, 0, 72, 21, 76, 77, 100, 59, 31, 61, 65
3, 1, 30, 71, 72, 55, 63, 100, 51, 30, 80, 55
3, 1, 80, 50, 0, 84, 60, 100, 63, 0, 51, 91
